doi,inspire_id,title,num_authors,journal_title,journal_volume,year,page_start,page_end,arxiv_eprint,record_url
10.1007/JHEP02(2025)036,2807749,Search for long-lived heavy neutral leptons in proton-proton collision events with a lepton-jet pair associated with a secondary vertex at $ \sqrt{s} $ = 13 TeV,2381,JHEP,02,2025,036,,2407.10717,https://inspirehep.net/record/2807749
10.1007/JHEP02(2025)097,2808025,Measurement of the $ \textrm{t}\overline{\textrm{t}}\textrm{H} $ and tH production rates in the H →$ \textrm{b}\overline{\textrm{b}} $ decay channel using proton-proton collision data at $ \sqrt{s} $ = 13 TeV,2392,JHEP,02,2025,,,2407.10896,https://inspirehep.net/record/2808025
10.1103/PhysRevLett.134.111903,2805671,"Search for Nuclear Modifications of <math display=""inline""><msup><mi>B</mi><mo>+</mo></msup></math> Meson Production in <math display=""inline""><mi>p</mi></math>-Pb Collisions at <math display=""inline""><mrow><msqrt><mrow><msub><mrow><mi>s</mi></mrow><mrow><mi>NN</mi></mrow></msub></mrow></msqrt><mo>=</mo><mn>8.16</mn><mtext> </mtext><mtext> </mtext><mi>TeV</mi></mrow></math>",2403,Phys.Rev.Lett.,134,2025,,,2407.05402,https://inspirehep.net/record/2805671
10.1016/j.physletb.2024.139231,2796231,"Measurement of inclusive and differential cross sections for W+W− production in proton-proton collisions at <math altimg=""si1.svg""><msqrt><mrow><mi>s</mi></mrow></msqrt><mo linebreak=""goodbreak"" linebreakstyle=""after"">=</mo><mn>13.6</mn></math> TeV",2391,Phys.Lett.B,861,2025,,,2406.05101,https://inspirehep.net/record/2796231
10.1016/j.physrep.2024.11.005,2791238,Stairway to discovery: A report on the CMS programme of cross section measurements from millibarns to femtobarns,2391,Phys.Rept.,1115,2025,3,115,2405.18661,https://inspirehep.net/record/2791238
10.1016/j.physrep.2024.09.012,2791037,"Review of searches for vector-like quarks, vector-like leptons, and heavy neutral leptons in proton–proton collisions at √s=13 TeV at the CMS experiment",2402,Phys.Rept.,1115,2025,570,677,2405.17605,https://inspirehep.net/record/2791037
10.1016/j.physrep.2024.09.013,2789267,Dark sector searches with the CMS experiment,2394,Phys.Rept.,1115,2025,448,569,2405.13778,https://inspirehep.net/record/2789267
10.1016/j.physrep.2024.11.007,2787897,Overview of high-density QCD studies with the CMS experiment at the LHC,2332,Phys.Rept.,1115,2025,219,367,2405.10785,https://inspirehep.net/record/2787897
10.1103/PhysRevLett.134.041801,2782841,"Search for New Resonances Decaying to Pairs of Merged Diphotons in Proton-Proton Collisions at <math display=""inline""><mrow><msqrt><mrow><mi>s</mi></mrow></msqrt><mo>=</mo><mn>13</mn><mtext> </mtext><mtext> </mtext><mi>TeV</mi></mrow></math>",2352,Phys.Rev.Lett.,134,2025,,,2405.00834,https://inspirehep.net/record/2782841
10.1016/j.physrep.2024.09.006,2771438,Enriching the physics program of the CMS experiment via data scouting and data parking,2390,Phys.Rept.,1115,2025,678,772,2403.16134,https://inspirehep.net/record/2771438
